A.ヴラディゲロフ	ディルマノ・ディルベロ変奏曲	ブルガリアの作曲家、ヴラディゲロフの初期の作品。民族的な主題に基づく、ダイナミックで非常にピアニスティックな変奏曲です。	https://youtu.be/Xepw5ug291Y
J.S.バッハ	イタリア協奏曲	ピアノ独奏のための作品ですが、文字どおり、協奏曲のようにソロと伴奏を同時に弾いているような作品です。全3楽章からなる、バッハの作品の中でも特に人気の高い作品です。	https://youtu.be/ghTitIMtTCM
J.S.バッハ	半音階的幻想曲とフーガ	即興的で自由な性格の幻想曲と、3声のフーガの2つの部分からなる作品。フーガの主題の初めの4音(A-B-H-C)は、バッハ(BACH)を並び替えたものです。	https://youtu.be/SNWOhm5iXxs
J.S.バッハ	ピアノ協奏曲 第1番	バッハはいくつかのピアノ協奏曲(チェンバロ協奏曲)を作曲しましたが、その中でも特に人気の高い作品です。協奏曲らしい、名人芸的な要素もある作品です。	https://youtu.be/osg_WmeLxQk
J.S.バッハ=ゴドフスキー	無伴奏ヴァイオリン・ソナタ 第1番	ヴァイオリンの名曲を、ゴドフスキーが対位法を駆使して緻密なピアノ編曲に仕立てたもの。全4楽章からなりますが、ここでは第2楽章「フーガ」の音源をご紹介します。	https://youtu.be/SxIJxLo-vBE
J.S.バッハ=ブゾーニ	トッカータとフーガ	バッハの作品の中でも特に有名であると思われる作品です。「シャコンヌ」の編曲でもおなじみのブゾーニによる、技巧的でありながら無駄のない編曲です。	https://youtu.be/a7H79qjq3x4
J.S.バッハ=ブゾーニ	シャコンヌ	原曲はJ.S.バッハの無伴奏ヴァイオリンのパルティータ第2番の「シャコンヌ」です。ブゾーニによる編曲は広く親しまれ、様々なピアニストが名演を残しています。	https://youtu.be/Fu-9frVpssg
J.S.バッハ=ブゾーニ	目覚めよ、と呼ぶ声あり	バッハが作曲したコラール(賛美歌)をブゾーニが編曲したもの。ブゾーニはバッハのコラールをいくつか編曲しており、その中でも人気のある曲の一つです。	https://youtu.be/DNx9cYJ1X_I
J.S.バッハ=ブラームス	シャコンヌ	J.S.バッハのシャコンヌのピアノ版というとブゾーニの編曲が有名ですが、実はブラームスが左手独奏のために編曲したものがあります。これはこれで良さがあります。	https://youtu.be/91KBiPlit-Y
J.S.バッハ=ペトリ	羊は安らかに草を食み	カンタータ「楽しき狩こそわが悦び」の第9曲。単独で聴く機会の方が多い気がします。5分ほどの作品ですが、終始穏やかで可愛らしい雰囲気の作品です。	https://youtu.be/Xgyz0XqDEEA
J.S.バッハ=ラフマニノフ	無伴奏ヴァイオリン・パルティータ 第3番	数少ないラフマニノフによる編曲の一つ。原曲は7曲からなりますが、ラフマニノフはそのうち3曲だけをピアノのために編曲しました。	https://youtu.be/ID5EYMt3ryo
J.S.バッハ=金子三勇士	G線上のアリア	誰もが知るバッハの名曲。シンプルで無駄のない編曲がなされています。なおピアノ編曲は他にも存在し、ジロティの編曲なども有名です。	https://youtu.be/GwuKkOGUxfw
J.シュトラウス2世=グリュンフェルト	皇帝円舞曲	原曲はヨハン・シュトラウス2世の「3大ワルツ」のひとつで、高い評価を得ている作品です。原曲に忠実ながら演奏効果の高い編曲がなされています。	https://youtu.be/JXt-6FknKjw
K.Kuroya	ピアノソナタ第2番 第1楽章	「AIR」というアニメの主題歌、「鳥の詩」をピアノ用に編曲したもの。ソナタ形式にまとめられていて、編曲のクオリティが驚くほど高いです。	https://youtu.be/OF-EeipcRBM
P.ヴラディゲロフ	トッカータ	5曲からなる「物語」という組曲の終曲にあたる作品で、ヴラディゲロフの作品の中では比較的よく演奏される作品です。打楽器的な、非常に演奏効果の高い音楽です。	https://youtu.be/A8vuGBFdoGs
P.ヴラディゲロフ	前奏曲 Op.15-1	ヴラディゲロフはブルガリアの作曲家で、多くのピアノ曲を残しています。この曲は非常に激しい曲想を持ち、彼の作品の中では比較的よく演奏されます。	https://youtu.be/Id76SyTcbmA
R.シュトラウス	ブルレスケ	ピアノと管弦楽のための作品で、実質的に単一楽章のピアノ協奏曲と言える作品です。ピアノの華麗な技巧が前面に押し出された、非常に演奏効果の高い作品です。	https://youtu.be/4q_zSvns0QY
アート・テイタム	tea for two	ジャズの名曲を、アメリカのジャズピアニストであるテイタムが編曲したもの。素敵な編曲ですが、卓越した速弾きの技術と手の大きさが要求されます。	https://youtu.be/kACt0FM0Kf8
アイアランド	引き船路	引き船路とは曳船道ともよばれ、運河などの水路の岸に沿って走る道のことだそうです。音数が少なく、心が洗われるような美しさのある、アイアランドらしい作品です。	https://youtu.be/IXqacN4DvJw
アイアランド	アンバレー・ワイルド・ブルックス	イギリスの作曲家、ジョン・アイアランドの作品。曲名はイギリスの渓流の名前です。自然描写を得意とした彼らしい、素朴で美しい作品です。	https://youtu.be/bnkp6G_-TRg
アイアランド	アーモンドの木	イギリスの作曲家、アイアランドの作品。五音音階が多用されており、東洋的で神秘的な雰囲気がします。アーモンドがアジア原産なことと関係があるのでしょうか？	https://youtu.be/ai172KE267I
アイアランド	大潮の歌	「サルニア〜島の情景〜」という組曲の3曲目で、とても穏やかで美しい作品です。この組曲は3曲からなりますが、他の2曲もとても素敵な曲なので、ぜひ聴いてみてください。	https://youtu.be/GvLG9T8qOiw
アイアランド	緑の道	「桜の木」「糸杉」「棕櫚と山査子」という、いずれも植物の名前を題名に関する3曲からなる組曲。自然描写を得意としたアイアランドらしい、春めいた明るさがある作品です。	https://youtu.be/_SkAhqIqa0Y
